period,arr,avol,mdd,sharpe_ratio,calmar_ratio,sortino_ratio
pre-pandemic,-98.94730951723199,1042.886665753023,0.9999381856386368,1.385613019455791,-0.9904613338289608,323.1209754131691
pre-pandemic,114549.24782571627,1860.870931675955,1.0762181537051574,0.5160724025554854,1227.64529396769,0.5865835316331158
pre-pandemic,1938.5123206769435,130.8935765687222,0.9988256185724961,4.032636980919753,20.692242329483044,126.62048789173468
pre-pandemic,-53.97373789654375,1463.2084099251622,0.9998304240282058,1.2029977297396626,-0.5470032986780804,436.4203418557582
pre-pandemic,-76.58115848466073,133.58316476591537,0.9982205768837548,3.4905146550472406,-0.773970354380371,111.01929784412295
pre-pandemic,1614622.8642275962,100391.00515331664,0.999995405691428,1.3834206615966043,19645.453288221765,33150.914053076005
pre-pandemic,-85.15528745270615,266112.3929330697,1.0113488658173666,1.017128035445921,-0.847556927527741,65448.15170063204
pre-pandemic,-85.94428237349851,161.6094305009383,0.9999336384751263,3.855007461893367,-0.8649736582483202,146.68595421770905
pre-pandemic,-81.4103125612019,111932.28114548692,0.999997863487047,1.0218183039385056,-0.8203299087770858,22662.58350338177
pre-pandemic,-92.5079582945884,280.90068803869775,0.9989481117787461,2.666612072669117,-0.9298864506858344,182.3611981708724
pandemic,-82.22759392253285,529.5388105563185,13.220242249765814,0.42746354557285315,-0.06275291392532895,0.45135708952021497
pandemic,-91.24011226635184,180.2800586315588,0.9996390095992581,2.6142094503427344,-0.9177834504768684,117.7070599515973
pandemic,-29.954908716403818,79.48764808105452,0.9987664411815089,5.3648962396152235,-0.30598269533622846,107.02986649986399
pandemic,4381.989809739423,62.61976876074707,0.9953141153529887,4.9711471400218326,48.4025189587169,76.50482876097256
pandemic,542683.8670422579,26289.477195877906,1.0115117887618283,1.2170769550536351,6617.280819089815,38.85386715697772
pandemic,-75.67753791996668,617.3360877854329,0.9998087232653748,1.7982870014751298,-0.7651657039634526,246.94872159530928
pandemic,-88.51980652352302,77519.90244442144,0.9999980653434908,1.0215468905428609,-0.8911034141695586,19872.663578769443
pandemic,92.8475445690408,168.3570719891659,0.9984991524223107,3.2768091756640554,0.9610564979917745,126.20480374924418
pandemic,1240.7663614023966,27733.359448244704,1.0137122149553857,1.0215986341833834,13.104300524278399,34.863816508917914
pandemic,182434.22297320014,2747.90123573271,20.25335310224287,-0.38484733318696923,108.19176356198957,-0.2959861370373549
post-pandemic,136878.66028282105,2642.338726299207,0.9987173423664308,1.2584397902753817,1634.7378819913422,770.4904945702052
post-pandemic,29290.676664777355,17620.112277286025,0.9999950237413198,1.070816507327192,336.6074125980451,4328.524437599908
post-pandemic,704.2409493587115,46546.18218993392,0.9999965641076383,1.43736058127455,7.461942849705648,15794.503794648646
post-pandemic,20.54901280810315,421.1040415445952,0.9996880842347928,2.043952033634782,0.21106337044477835,211.11704157057525
post-pandemic,27708.893409397224,91.82885703609826,29.4676463106965,4.202084916611833,10.791677428276602,9.085374399736848
post-pandemic,-66.51943278441554,551.5539118993187,1.3959209048969943,1.240269937586221,-0.48284355975145343,2.4121647576561163
post-pandemic,616.6789140162053,214.62871482413715,0.9984198920089998,3.83146292473284,6.52976994624817,187.70787195994916
post-pandemic,11833.394530645948,1356.4650509882736,0.9998636566236649,1.2106644156095305,133.1144445322051,381.2488922989581
post-pandemic,382.3260737193427,164.71212635960626,0.998919550618356,3.0459687668962423,4.016299302052038,119.58262394853114
post-pandemic,-49.058724323898936,370.06560355569746,0.9995929175392357,2.0972602754003296,-0.49910228152408,167.09129372823134
all,-88.2725446106496,2118.9917497865467,0.9999418843668213,1.1469027985049578,-0.8887500411796176,565.3208779242958
all,87.1043489541653,1329.5217470848636,0.9999832577780547,1.337746733773666,0.8998683956398341,413.47949788455537
all,-12.584669045126862,97.20070826792904,0.9981496788324098,4.3668589679985335,-0.12894822638080172,110.08980996124383
all,-10.936630832039762,11491.779903959226,0.9999954069283088,1.059080301699409,-0.1118792480455415,2760.478508176853
all,-67.49944639634803,153.98184986040025,0.9923952517095898,2.7687739850111677,-0.6890225216796172,95.16050864612191
all,363.09790148494443,2562.7844139555373,0.9999333394032129,1.2641651592633176,3.807636951132645,760.3090187654769
all,-96.8790715540792,479.5221271787053,0.9997449277489849,1.8307863880107131,-0.971569149015845,205.50165443951576
all,524777.0521086439,4167.09544329405,0.999013790744676,1.1513586156026845,6473.692505130425,1160.8062637549422
all,169.61551141673138,654.3618308267629,0.9998080036677789,1.949415130000259,1.7625112114256494,276.62070822493223
all,157.41703903085877,493.4681571441534,0.9998869081954139,1.985131736368927,1.6344096385352787,224.34345652104594
